,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Charges Billed by Courier Company (Rs.),Expected Charge as per X (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
0,2001827036,1091122418320,1.27,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
1,2001827036,1091122418320,1.5,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
2,2001827036,1091122418320,1.0,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
3,2001827036,1091122418320,1.65,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
4,2001827036,1091122418320,3.5,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
5,2001827036,1091122418320,5.0,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
7,2001827036,1091122418320,1.37,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
8,2001827036,1091122418320,0.1,1.6,b,b,Forward charges,0.5,117.9,66.6,51.30000000000001
9,2001825261,1091121981575,1.12,1.6,d,d,Forward and RTO charges,1.25,345.0,90.8,254.2
11,2001825261,1091121981575,1.37,1.6,d,d,Forward and RTO charges,1.25,345.0,90.8,254.2
12,2001825261,1091121981575,2.4,1.6,d,d,Forward and RTO charges,1.25,345.0,90.8,254.2
13,2001825261,1091121981575,0.1,1.6,d,d,Forward and RTO charges,1.25,345.0,90.8,254.2
14,2001823564,1091121666133,1.12,0.7,d,d,Forward and RTO charges,1.25,172.8,90.8,82.00000000000001
17,2001822466,1091121305541,2.4,1.1,d,d,Forward charges,1.25,135.0,90.8,44.2
18,2001822466,1091121305541,1.12,1.1,d,d,Forward charges,1.25,135.0,90.8,44.2
19,2001821995,1091121183730,3.5,0.5,d,d,Forward charges,1.25,45.4,90.8,-45.4
20,2001821995,1091121183730,1.27,0.5,d,d,Forward charges,1.25,45.4,90.8,-45.4
21,2001821766,1091121034641,1.2,0.2,d,d,Forward charges,1.25,45.4,90.8,-45.4
22,2001821750,1091121034350,2.4,0.8,d,d,Forward charges,1.25,90.2,90.8,-0.5999999999999943
23,2001821750,1091121034350,1.65,0.8,d,d,Forward charges,1.25,90.2,90.8,-0.5999999999999943
24,2001821750,1091121034350,3.5,0.8,d,d,Forward charges,1.25,90.2,90.8,-0.5999999999999943
25,2001821742,1091121034114,2.4,0.15,d,d,Forward charges,1.25,45.4,90.8,-45.4
26,2001821679,1091121031745,1.65,0.2,d,d,Forward charges,1.25,45.4,90.8,-45.4
27,2001821502,1091121185863,1.1,0.6,d,d,Forward charges,1.25,90.2,90.8,-0.5999999999999943
28,2001821502,1091121185863,1.12,0.6,d,d,Forward charges,1.25,90.2,90.8,-0.5999999999999943
30,2001821284,1091120962515,0.65,0.2,d,d,Forward charges,1.25,45.4,90.8,-45.4
31,2001821284,1091120962515,1.12,0.2,d,d,Forward charges,1.25,45.4,90.8,-45.4
32,2001821190,1091120959015,6.0,1.2,d,d,Forward and RTO charges,1.25,258.9,90.8,168.09999999999997
34,2001821185,1091120959225,1.33,2.1,d,d,Forward charges,1.25,224.6,90.8,133.8
35,2001821185,1091120959225,1.21,2.1,d,d,Forward charges,1.25,224.6,90.8,133.8
36,2001821185,1091120959225,2.9,2.1,d,d,Forward charges,1.25,224.6,90.8,133.8
39,2001821185,1091120959225,2.4,2.1,d,d,Forward charges,1.25,224.6,90.8,133.8
42,2001820978,1091120922803,1.65,0.5,d,d,Forward charges,1.25,45.4,90.8,-45.4
43,2001820978,1091120922803,3.5,0.5,d,d,Forward charges,1.25,45.4,90.8,-45.4
44,2001820690,1091121306101,0.65,0.15,d,d,Forward charges,1.25,45.4,90.8,-45.4
45,2001819252,1091120352712,1.33,0.3,b,b,Forward charges,0.5,33.0,66.6,-33.599999999999994
